mood_id,user_id,mood_rating,mood_notes,mood_date
234,234,3,Restless sleep last night.,2025-06-15
235,235,10,Struggling to stay focused today.,2025-06-07
236,236,2,Laughing a lot today.,2025-06-14
237,237,1,Panic subsided after deep breathing.,2025-06-14
238,238,3,Feel like isolating myself.,2025-06-08
239,239,1,Feel like I’m falling behind.,2025-06-14
240,240,8,Felt disconnected in meetings.,2025-06-10
241,241,8,Tired but happy.,2025-06-14
242,242,8,Panic subsided after deep breathing.,2025-06-14
243,243,9,Love being productive!,2025-06-13
244,244,8,Nothing went as planned.,2025-06-08
245,245,8,Today was a blur.,2025-06-11
246,246,6,Distracted and confused.,2025-06-15
247,247,4,Joyful after catching up with an old friend.,2025-06-09
248,248,6,"Missed meals, now moody.",2025-06-09
249,249,7,Regret being unkind earlier.,2025-06-12
250,250,1,Mind racing all the time.,2025-06-06
251,251,10,Anxious about upcoming tasks.,2025-06-08
252,252,8,Struggling to stay focused today.,2025-06-07
253,253,7,Brain fog all day.,2025-06-10
254,254,5,Laughing helped reduce stress.,2025-06-10
255,255,7,Heavy-hearted.,2025-06-12
256,256,1,Surprisingly optimistic.,2025-06-10
257,257,7,Having a balanced day emotionally.,2025-06-07
258,258,10,Experienced pure joy in small things.,2025-06-06
259,259,2,Chose rest over hustle.,2025-06-11
260,260,7,Mood improving slowly.,2025-06-13
261,261,5,Heavy-hearted.,2025-06-15
262,262,5,Calmer after meditation.,2025-06-14
263,263,8,Panic subsided after deep breathing.,2025-06-09
264,264,8,Insecure about how I look today.,2025-06-14
265,265,10,Feeling like giving up.,2025-06-10
266,266,9,Mood improving slowly.,2025-06-08
267,267,3,Head feels heavy.,2025-06-06
268,268,7,Emotionally stable right now.,2025-06-10
269,269,2,Irritated by minor things.,2025-06-11
270,270,10,Laughing helped reduce stress.,2025-06-08
271,271,4,"Too much screen time, feel drained.",2025-06-07
272,272,7,Feeling energized and productive.,2025-06-15
273,273,8,"Too much screen time, feel drained.",2025-06-06
274,274,8,Anxious about upcoming tasks.,2025-06-15
275,275,9,Can’t stop worrying about the future.,2025-06-10
276,276,3,Having a balanced day emotionally.,2025-06-13
277,277,6,"Too much screen time, feel drained.",2025-06-07
278,278,3,Feel like isolating myself.,2025-06-11
279,279,6,"Chatted with a mentor, feeling guided.",2025-06-13
280,280,8,Feeling impulsive and reckless.,2025-06-10
281,281,8,Lonely but trying to stay positive.,2025-06-09
282,282,5,Experienced pure joy in small things.,2025-06-10
283,283,1,"Watched a good movie, feeling relaxed.",2025-06-07
284,284,8,Peaceful like never before.,2025-06-08
285,285,8,"Panic attack earlier, now calming down.",2025-06-08
286,286,7,Excited for the weekend!,2025-06-06
287,287,9,Content with how the day went.,2025-06-15
288,288,6,Light-hearted mood today.,2025-06-06
289,289,3,Head feels heavy.,2025-06-15
290,290,1,Feeling very connected to friends.,2025-06-06
291,291,9,Head feels heavy.,2025-06-12
292,292,1,Craving human connection.,2025-06-11
293,293,1,Lonely but trying to stay positive.,2025-06-06
294,294,7,Proud of what I achieved today.,2025-06-15
295,295,9,Today was a blur.,2025-06-13
296,296,9,Feel like isolating myself.,2025-06-14
297,297,1,Distracted and confused.,2025-06-10
298,298,8,Grateful for small wins.,2025-06-08
299,299,3,"Watched a good movie, feeling relaxed.",2025-06-07
300,300,2,Lonely but trying to stay positive.,2025-06-07
301,301,2,Mood fluctuated a lot today.,2025-06-12
302,302,7,Overstimulated from social interaction.,2025-06-14
303,303,10,Trying not to overthink.,2025-06-08
304,304,2,"Had a cry, now feel lighter.",2025-06-06
305,305,4,Dealing with some family stress.,2025-06-09
306,306,1,Went on a nature walk—very soothing.,2025-06-07
307,307,10,Need a digital detox.,2025-06-08
308,308,4,Joyful after catching up with an old friend.,2025-06-08
309,309,1,Irritated by minor things.,2025-06-12
310,310,6,Feeling thankful and grateful.,2025-06-10
311,311,3,Irritated by minor things.,2025-06-11
312,312,9,Had a peaceful morning walk.,2025-06-09
313,313,10,Emotionally numb.,2025-06-15
314,314,1,Love being productive!,2025-06-10
315,315,1,Felt really inspired.,2025-06-06
316,316,8,Craving human connection.,2025-06-07
317,317,6,Need a long nap.,2025-06-13
318,318,3,"Slept well, feel recharged.",2025-06-15
319,319,4,Felt supported by family today.,2025-06-07
320,320,2,Everything feels overwhelming.,2025-06-10
321,321,6,Letting go of guilt.,2025-06-14
322,322,3,Feeling nauseous and stressed.,2025-06-11
323,323,1,Emotionally numb.,2025-06-06
324,324,6,"Had a cry, now feel lighter.",2025-06-11
325,325,3,Laughed till my stomach hurt.,2025-06-08
326,326,7,Went on a nature walk—very soothing.,2025-06-08
327,327,6,Excited to start new projects.,2025-06-15
328,328,7,No energy to do anything.,2025-06-07
329,329,4,Can’t stop worrying about the future.,2025-06-14
330,330,4,Felt really inspired.,2025-06-13
331,331,3,Smiling for no reason.,2025-06-11
332,332,8,Regret being unkind earlier.,2025-06-09
333,333,8,Nothing feels real.,2025-06-06
334,334,8,Day felt too long.,2025-06-12
335,335,10,Social battery is low.,2025-06-15
336,336,9,Lonely but trying to stay positive.,2025-06-07
337,337,6,Laughing helped reduce stress.,2025-06-07
338,338,5,Peaceful like never before.,2025-06-10
339,339,8,Mind feels heavy.,2025-06-14
340,340,3,Went on a nature walk—very soothing.,2025-06-06
341,341,8,Need a digital detox.,2025-06-13
342,342,8,Mind feels heavy.,2025-06-06
343,343,9,"Got good news, feeling thrilled.",2025-06-06
344,344,7,Distracted and confused.,2025-06-07
345,345,9,Felt disconnected in meetings.,2025-06-10
346,346,2,Feeling nauseous and stressed.,2025-06-15
347,347,4,Feel supported by my friends.,2025-06-12
348,348,4,"Missed meals, now moody.",2025-06-06
349,349,5,Feel mentally stronger today.,2025-06-07
350,350,9,"Chatted with a mentor, feeling guided.",2025-06-10
351,351,1,Finally feel seen.,2025-06-06
352,352,10,Got closure today.,2025-06-12
353,353,6,Good conversation boosted my mood.,2025-06-09
354,354,2,Chose rest over hustle.,2025-06-15
355,355,6,Love being productive!,2025-06-14
356,356,5,Emotionally drained.,2025-06-14
357,357,10,Feel excited but also scared.,2025-06-08
358,358,10,Hurt by someone’s words.,2025-06-10
359,359,4,Overthinking everything today.,2025-06-12
360,360,3,Felt supported by family today.,2025-06-06
361,361,2,Joyful after catching up with an old friend.,2025-06-06
362,362,8,Peaceful like never before.,2025-06-09
363,363,8,Irritated by minor things.,2025-06-10
364,364,1,Brain fog all day.,2025-06-13
365,365,8,Emotionally numb.,2025-06-14
366,366,2,Head feels heavy.,2025-06-06
367,367,3,"Missed meals, now moody.",2025-06-06
368,368,9,Sick and a bit cranky.,2025-06-15
369,369,5,Heavy-hearted.,2025-06-08
370,370,2,Messed up something and feeling guilty.,2025-06-07
371,371,2,"Slept well, feel recharged.",2025-06-13
372,372,7,Tired but happy.,2025-06-13
373,373,9,Hope is back.,2025-06-12
374,374,7,Regret being unkind earlier.,2025-06-13
375,375,8,Mind racing all the time.,2025-06-14
376,376,2,Feeling very connected to friends.,2025-06-14
377,377,10,Love being productive!,2025-06-08
378,378,6,Tired but happy.,2025-06-10
379,379,9,Feeling like giving up.,2025-06-15
380,380,4,Can’t stop worrying about the future.,2025-06-09
381,381,8,Chose rest over hustle.,2025-06-12
382,382,4,Feel excited but also scared.,2025-06-14
383,383,10,Laughing helped reduce stress.,2025-06-14
384,384,2,Regret being unkind earlier.,2025-06-12
385,385,6,Love being productive!,2025-06-09
386,386,7,Heavy-hearted.,2025-06-12
387,387,4,Letting go of guilt.,2025-06-06
388,388,2,Feel mentally stronger today.,2025-06-09
389,389,6,Craving human connection.,2025-06-13
390,390,6,Need some alone time.,2025-06-12
391,391,7,Really motivated today.,2025-06-06
392,392,2,"Too much screen time, feel drained.",2025-06-13
393,393,10,Head feels heavy.,2025-06-12
394,394,5,Hopeful about the future.,2025-06-10
395,395,1,Feel supported by my friends.,2025-06-07
396,396,5,Brain fog all day.,2025-06-11
397,397,8,Feeling very connected to friends.,2025-06-13
398,398,9,Trying not to overthink.,2025-06-07
399,399,6,Craving human connection.,2025-06-12
400,400,1,Mood improving slowly.,2025-06-06
401,401,1,Need a long nap.,2025-06-08
402,402,2,Felt disconnected in meetings.,2025-06-09
403,403,2,"Got good news, feeling thrilled.",2025-06-13
404,404,8,Emotionally stable right now.,2025-06-08
405,405,1,Need a digital detox.,2025-06-14
406,406,9,Hurt by someone’s words.,2025-06-15
407,407,6,Overstimulated from social interaction.,2025-06-07
408,408,5,Struggling with loneliness.,2025-06-06
409,409,7,Mood fluctuated a lot today.,2025-06-13
410,410,6,Panic subsided after deep breathing.,2025-06-13
411,411,3,Today was a blur.,2025-06-15
412,412,8,Love being productive!,2025-06-12
413,413,1,Laughing helped reduce stress.,2025-06-13
414,414,8,Anxious about upcoming tasks.,2025-06-09
415,415,10,Light-hearted mood today.,2025-06-07
416,416,10,Anxious about upcoming tasks.,2025-06-15
417,417,4,Still processing emotions.,2025-06-12
418,418,8,Feeling unappreciated.,2025-06-08
419,419,6,Content with how the day went.,2025-06-14
420,420,7,Love being productive!,2025-06-06
421,421,2,Restless with no clear reason.,2025-06-06
422,422,1,Went on a nature walk—very soothing.,2025-06-08
423,423,8,Good conversation boosted my mood.,2025-06-07
424,424,1,Emotionally drained.,2025-06-10
425,425,10,"Panic attack earlier, now calming down.",2025-06-12
426,426,9,Experienced pure joy in small things.,2025-06-11
427,427,3,Feeling very connected to friends.,2025-06-11
428,428,7,Deep in thought.,2025-06-07
429,429,6,Grateful for small wins.,2025-06-11
430,430,10,Regret being unkind earlier.,2025-06-15
431,431,2,Mind racing all the time.,2025-06-09
432,432,9,Felt disconnected in meetings.,2025-06-13
433,433,2,Emotionally numb.,2025-06-12
434,434,10,"Chatted with a mentor, feeling guided.",2025-06-13
435,435,5,Need some alone time.,2025-06-12
436,436,7,Feeling impulsive and reckless.,2025-06-10
437,437,3,Reconnected with myself.,2025-06-08
438,438,3,Trying to reset mentally.,2025-06-06
439,439,10,Hurt by someone’s words.,2025-06-07
440,440,10,Really motivated today.,2025-06-07
441,441,10,Nothing feels real.,2025-06-13
442,442,2,Can’t stop worrying about the future.,2025-06-14
443,443,2,Having a creative burst!,2025-06-14
444,444,2,Need some alone time.,2025-06-14
445,445,2,Feel like isolating myself.,2025-06-09
446,446,6,"Got good news, feeling thrilled.",2025-06-12
447,447,3,Feel excited but also scared.,2025-06-14
448,448,1,Overstimulated from social interaction.,2025-06-07
449,449,4,Overstimulated from social interaction.,2025-06-06
450,450,1,Good conversation boosted my mood.,2025-06-08
451,451,9,Sick and a bit cranky.,2025-06-15
452,452,8,"Watched a good movie, feeling relaxed.",2025-06-14
453,453,6,Struggling with loneliness.,2025-06-07
454,454,7,"Panic attack earlier, now calming down.",2025-06-14
455,455,2,Need some alone time.,2025-06-07
456,456,2,Got closure today.,2025-06-08
457,457,5,Experienced pure joy in small things.,2025-06-07
458,458,5,"Chatted with a mentor, feeling guided.",2025-06-14
459,459,2,Experiencing imposter syndrome.,2025-06-14
460,460,7,Felt great after workout.,2025-06-06
461,461,1,Mood fluctuated a lot today.,2025-06-06
462,462,6,Social battery is low.,2025-06-13
463,463,2,Day felt too long.,2025-06-09
464,464,5,Good conversation boosted my mood.,2025-06-11
465,465,5,Finally feel seen.,2025-06-12
466,466,4,Experiencing imposter syndrome.,2025-06-11
467,467,4,Having a creative burst!,2025-06-07
468,468,2,Felt really inspired.,2025-06-09
469,469,4,Feel like I’m falling behind.,2025-06-11
470,470,1,Joyful after catching up with an old friend.,2025-06-13
471,471,1,Got closure today.,2025-06-09
472,472,4,Craving human connection.,2025-06-06
473,473,1,Regret being unkind earlier.,2025-06-07
474,474,9,Having a creative burst!,2025-06-08
475,475,2,Regret being unkind earlier.,2025-06-15
476,476,2,Day felt too long.,2025-06-10
477,477,5,Feel like isolating myself.,2025-06-10
478,478,5,Experienced pure joy in small things.,2025-06-10
479,479,1,Overstimulated from social interaction.,2025-06-14
480,480,2,Emotionally drained.,2025-06-14
481,481,5,Felt disconnected in meetings.,2025-06-07
482,482,1,Reconnected with myself.,2025-06-12
483,483,5,Felt really inspired.,2025-06-11
484,484,9,"Too much screen time, feel drained.",2025-06-14
485,485,1,Calmer after meditation.,2025-06-06
486,486,5,"Missed meals, now moody.",2025-06-11
487,487,3,Distracted and confused.,2025-06-07
488,488,2,Restless with no clear reason.,2025-06-11
489,489,4,Feeling like giving up.,2025-06-14
490,490,10,Very sleepy all day.,2025-06-10
491,491,1,Really motivated today.,2025-06-11
492,492,5,Regret being unkind earlier.,2025-06-09
493,493,3,Emotionally numb.,2025-06-15
494,494,4,Struggling to stay focused today.,2025-06-14
495,495,4,Felt supported by family today.,2025-06-06
496,496,5,Feeling like giving up.,2025-06-06
497,497,4,Feel like isolating myself.,2025-06-11
498,498,3,Grateful for small wins.,2025-06-09
499,499,2,Eager for change.,2025-06-06
500,500,6,Feel supported by my friends.,2025-06-12
501,501,9,Feel like I’m falling behind.,2025-06-07
502,502,9,Having a creative burst!,2025-06-12
503,503,2,Feeling unappreciated.,2025-06-06
504,504,10,Need some alone time.,2025-06-13
505,505,8,Grateful for small wins.,2025-06-14
506,506,5,Feeling very connected to friends.,2025-06-13
507,507,9,Surprisingly optimistic.,2025-06-14
508,508,5,"Too much screen time, feel drained.",2025-06-12
509,509,6,Feel like I’m falling behind.,2025-06-09
510,510,7,Having a balanced day emotionally.,2025-06-07
511,511,5,Laughed till my stomach hurt.,2025-06-12
512,512,1,Felt disconnected in meetings.,2025-06-15
513,513,6,Content with how the day went.,2025-06-12
514,514,6,Insecure about how I look today.,2025-06-07
515,515,8,Anxious about upcoming tasks.,2025-06-06
516,516,7,Excited to start new projects.,2025-06-07
517,517,2,Overwhelmed with deadlines.,2025-06-14
518,518,8,Finally feel seen.,2025-06-07
519,519,2,Feeling nauseous and stressed.,2025-06-13
520,520,1,Mood improving slowly.,2025-06-11
521,521,6,Feel excited but also scared.,2025-06-09
522,522,8,Felt great after workout.,2025-06-10
523,523,4,Very sleepy all day.,2025-06-08
524,524,9,Love being productive!,2025-06-10
525,525,10,Emotionally numb.,2025-06-07
526,526,6,Feel supported by my friends.,2025-06-11
527,527,6,Sick and a bit cranky.,2025-06-12
528,528,5,Light-hearted mood today.,2025-06-11
529,529,8,Went on a nature walk—very soothing.,2025-06-15
530,530,6,"Panic attack earlier, now calming down.",2025-06-15
531,531,6,Laughing helped reduce stress.,2025-06-14
532,532,3,Proud of what I achieved today.,2025-06-12
533,533,4,Can’t stop worrying about the future.,2025-06-07
534,534,2,Laughing a lot today.,2025-06-13
535,535,4,Heavy-hearted.,2025-06-15
536,536,6,Restless sleep last night.,2025-06-12
537,537,7,"Chatted with a mentor, feeling guided.",2025-06-10
538,538,1,Experienced pure joy in small things.,2025-06-12
539,539,9,Having a balanced day emotionally.,2025-06-12
540,540,2,Sick and a bit cranky.,2025-06-14
541,541,5,"Had a cry, now feel lighter.",2025-06-10
542,542,1,"Missed meals, now moody.",2025-06-09
543,543,5,Joyful after catching up with an old friend.,2025-06-14
544,544,6,Deep in thought.,2025-06-10
545,545,6,Deep in thought.,2025-06-12
546,546,4,Tired but happy.,2025-06-08
547,547,4,"Watched a good movie, feeling relaxed.",2025-06-11
548,548,6,Regret being unkind earlier.,2025-06-11
549,549,3,Deep in thought.,2025-06-11
550,550,2,Letting go of guilt.,2025-06-13
551,551,9,"Chatted with a mentor, feeling guided.",2025-06-09
552,552,3,Feeling very connected to friends.,2025-06-07
553,553,6,Grateful for small wins.,2025-06-09
554,554,8,Feeling thankful and grateful.,2025-06-11
555,555,6,Love being productive!,2025-06-10
556,556,6,Feeling impulsive and reckless.,2025-06-09
557,557,1,Excited for the weekend!,2025-06-10
558,558,2,Laughed till my stomach hurt.,2025-06-07
559,559,2,Feeling like giving up.,2025-06-07
560,560,7,Anxious about upcoming tasks.,2025-06-12
561,561,10,Good conversation boosted my mood.,2025-06-06
562,562,1,"Too much screen time, feel drained.",2025-06-11
563,563,2,Distracted and confused.,2025-06-15
564,564,8,Lack of motivation lately.,2025-06-11
565,565,10,Letting go of guilt.,2025-06-13
566,566,6,Mind feels heavy.,2025-06-13
567,567,2,Can’t stop worrying about the future.,2025-06-10
568,568,10,Feel mentally stronger today.,2025-06-11
569,569,4,Dealing with some family stress.,2025-06-08
570,570,7,Calmer after meditation.,2025-06-12
571,571,1,Chose rest over hustle.,2025-06-11
572,572,4,Need some alone time.,2025-06-09
573,573,10,Having a creative burst!,2025-06-15
574,574,3,Today was a blur.,2025-06-12
575,575,6,Feel like isolating myself.,2025-06-10
576,576,6,Emotionally numb.,2025-06-15
